id,rating
11860,6
31357,6
45325,6
8844,7
15602,7
862,8
949,8
11862,6
9087,7
710,7
9091,6
12110,6
10858,7
21032,7
1408,6
524,8
9273,6
11517,6
5,7
8012,7
1710,7
9691,6
12665,7
4584,8
16420,7
9263,7
451,8
17015,8
902,8
37557,7
9909,6
63,8
78802,6
9598,7
139405,6
687,8
47018,7
9603,7
34615,7
31174,7
33689,6
11443,7
35196,7
9312,6
577,7
11861,6
807,9
10530,7
629,8
8391,6
117164,5
11448,7
49133,8
97406,7
26441,6
11010,8
9089,7
124057,5
99040,8
11359,6
17182,6
2054,7
10607,7
9536,4
11525,2
40628,6
19760,5
4482,6
10634,7
11859,4
28387,7
755,7
48750,8
36929,5
9102,6
20927,6
124626,7
27526,6
9623,6
46785,8
400,7
880,8
146599,7
8447,7
188588,6
13997,6
2086,6
17414,5
10534,7
12158,5
9095,6
61548,6
9283,7
9208,6
40154,7
406,8
45549,5
63076,6
13685,7
47475,4
2045,6
9614,7
11907,7
688,8
10874,7
11062,6
96357,5
89333,7
197,8
103,8
43566,6
71754,7
51352,8
33542,7
16934,7
10324,5
43612,7
78406,5
55731,5
11066,6
11104,8
2074,7
27793,3
32119,8
37975,7
290157,7
44284,7
32622,6
110972,6
73067,7
11863,5
124636,7
55475,7
9101,6
124639,8
39428,6
123360,7
5757,6
249882,4
9302,6
16388,7
11000,7
9737,7
30765,6
10474,7
30157,7
22279,6
11780,7
34996,6
649,8
1873,7
414,5
1775,6
568,8
5894,7
8839,6
10329,5
8068,7
8963,7
1572,8
8512,7
26564,8
13552,6
20649,7
259209,6
9073,5
6520,6
10428,6
9886,6
17447,7
9482,6
19326,4
9344,7
9071,8
8973,6
47608,5
2293,7
15730,7
9070,5
68274,6
34574,6
48787,7
11472,6
11980,6
36196,7
1642,6
58372,5
32646,7
10533,5
56088,7
10802,5
10149,7
18402,6
9348,6
5967,8
139408,6
79593,5
47939,6
9090,7
3512,6
36834,6
281,7
52856,7
77350,6
9560,7
31611,5
9804,6
65796,6
26258,6
49805,7
50797,8
19155,8
76,8
37141,4
6715,8
18256,6
11017,6
9382,6
22625,7
2292,8
1909,7
61813,5
4954,6
8984,6
10531,7
11929,7
62488,5
20156,7
18395,4
8467,7
397,7
522,8
27985,6
10525,6
10451,8
21183,7
27303,5
15789,7
47867,4
14275,8
72031,6
10954,7
43475,6
1024,7
13701,7
32631,6
17207,6
14819,7
87729,6
18713,5
628,8
9061,6
37108,5
6071,6
11,9
11777,6
6280,5
9587,7
17961,7
49980,7
19101,8
18183,7
4476,8
11008,6
47504,7
32325,6
28313,6
11318,7
43742,6
3036,6
24070,6
8986,6
10510,7
17402,5
38722,7
11593,7
1945,6
40490,5
39310,7
8438,7
56428,3
109560,4
63105,4
131957,6
241,7
9058,6
527,8
18220,4
101,8
6950,7
63020,6
41478,6
680,9
2307,5
25296,7
40156,7
30304,7
11450,8
10452,7
3586,5
161495,6
12106,6
110,8
108,8
109,8
159185,7
92769,6
36357,6
28033,5
14334,8
2636,6
22586,6
2164,7
278,9
9905,7
12527,7
20306,7
11395,6
27993,6
36614,7
31439,8
87078,7
9067,5
9059,7
193,7
25066,6
32636,7
12122,6
11381,7
36141,6
46797,6
95963,5
9271,6
1587,8
19855,7
60855,7
236,7
2064,7
3049,7
2759,8
12635,7
48287,6
10497,7
9331,7
11382,7
10464,7
10731,7
9495,8
34152,7
29973,6
888,5
13,9
712,7
16295,6
10660,6
10714,6
48992,7
41647,8
8587,8
10879,5
1689,6
11596,6
9359,7
23333,6
36593,6
12280,7
10427,7
2788,7
11011,5
854,7
8987,6
49803,6
1637,7
36955,7
15128,6
10395,6
10449,7
12160,7
40480,5
26352,6
41580,7
29444,6
8831,6
315,7
39953,7
52038,7
22067,7
18242,7
267188,6
32502,7
28732,5
42981,8
278939,6
11667,4
226229,5
291731,6
203119,5
75555,4
172923,7
316098,7
171857,6
2654,7
18069,7
2758,7
19092,7
10436,7
38129,7
13595,6
46094,6
9409,6
8011,4
46924,5
11853,5
16771,7
306,6
14522,7
11041,5
26203,6
178,6
19819,6
57834,6
4722,6
18215,5
26391,5
1607,8
117553,5
6075,8
11310,6
18658,6
9350,6
9612,5
2124,5
26261,5
19176,6
49299,6
11566,7
9571,8
24257,8
9739,7
34444,4
26141,6
10997,8
10443,7
20239,7
50463,5
16297,7
18551,6
9024,6
25440,7
1634,6
37233,7
13815,8
5503,8
35588,6
2087,6
18620,6
4916,6
41006,5
2019,6
26271,5
41579,5
9255,7
31642,7
10612,7
16097,5
2259,7
11934,7
106143,6
12475,5
9386,7
7984,8
59930,6
31643,5
15765,7
6,7
329,8
10909,7
507,6
29918,6
9593,6
42580,6
34024,7
22317,6
1413,7
12121,5
10502,7
10440,7
9516,8
2246,6
5879,7
2320,6
83718,7
11971,7
31911,6
788,7
2625,6
11231,4
41588,6
21450,8
10447,6
9300,7
9559,8
9800,8
31586,4
8291,6
18133,6
713,8
25557,6
22588,6
10872,7
1245,8
11858,6
7007,6
5550,4
8005,7
10467,6
2088,7
10412,7
47889,7
14534,8
56583,7
424,9
35233,5
14291,7
103413,7
11592,7
11236,7
8850,6
10445,7
41878,7
695,8
12519,6
43535,6
858,7
23210,7
78,8
13203,6
867,5
11074,6
33367,5
10442,6
17585,6
9607,4
9057,6
9479,8
10635,6
10057,6
11969,8
20967,7
41590,5
319,8
26408,7
161158,5
15139,6
11446,7
218473,5
85247,6
51980,7
24405,5
11655,7
11800,6
8223,6
14587,6
31504,6
41653,6
53185,7
95743,6
23637,7
17600,6
21352,6
10897,6
68806,7
349394,6
37345,6
32562,8
47507,6
25403,7
124304,7
251,7
771,8
280,8
581,8
80350,6
274,9
812,8
9066,6
268,8
408,8
10020,8
10895,7
114,7
576,8
59146,7
15477,6
41043,7
124472,7
30528,6
10824,5
25059,6
261246,6
275,8
11827,7
8766,5
7300,6
47333,7
23570,5
54850,5
4307,7
10112,7
51242,8
32308,3
46029,5
88893,6
52873,7
28121,6
123505,6
12520,7
44281,7
340210,5
166901,6
36447,6
1592,8
19042,6
38884,8
47449,7
36259,2
41852,7
40926,5
2021,7
9099,6
61752,5
10988,6
398959,6
11479,6
287305,6
339428,5
10684,7
12652,7
954,7
54285,6
68445,7
8840,6
18989,6
10801,4
278978,6
124625,7
70934,5
11107,5
16417,6
161070,6
10539,7
10363,8
10543,6
18414,7
11902,8
47502,6
5801,8
25087,5
27098,7
3065,7
2300,6
318177,5
8069,6
288173,4
187851,5
896,8
27768,8
8072,7
221917,6
35797,8
88030,7
185191,7
83857,5
124460,7
27281,5
105045,7
29621,4
117730,7
33245,7
20762,6
40001,6
37144,5
12656,5
277270,5
38867,5
48260,6
25969,7
44103,8
753,8
43634,5
90214,7
9103,6
10990,6
8866,6
29649,6
12233,7
23449,5
36355,5
90148,5
37667,6
922,8
11876,7
52633,7
11687,7
62364,6
9304,6
73183,7
131232,7
9100,6
20759,6
46063,6
365371,8
40651,7
36915,6
32513,7
9802,7
21588,7
25697,5
664,6
11867,3
47119,7
314352,4
40507,6
9323,8
124613,6
10280,6
532,8
26744,7
16299,4
10547,6
10535,5
245268,6
215107,7
935,8
41007,6
35645,6
55613,7
110465,7
255546,8
275096,7
40751,7
85778,7
11101,8
9879,4
9826,5
7095,6
63564,6
26890,7
22621,7
124633,7
202425,6
77771,7
196940,6
181083,7
188589,6
46732,8
41225,6
87190,7
627,8
32872,5
602,7
14553,7
9566,6
10545,7
9894,6
52059,9
11543,7
9268,6
9327,6
42005,7
124306,7
81949,7
123763,7
183955,6
44535,5
10779,7
44495,7
78285,6
26748,7
38223,6
49963,7
11228,6
9294,6
31546,6
1645,8
11363,6
77056,7
36344,6
172198,6
18550,5
11511,3
109478,4
281085,5
124645,6
34170,6
12606,6
35206,7
69895,7
4837,7
12632,7
282919,6
9098,7
124614,6
151489,7
11962,6
18975,5
3595,7
28628,7
9308,6
92381,4
18555,6
2925,6
10830,7
31417,8
18862,6
12123,6
3573,7
10546,5
124619,6
9431,5
297645,7
48144,7
